,0,1
0,tt0120915,Star Wars: Episode 1: The Phantom Menace
1,tt0121765,Star Wars: Episode 2: Attack of the Clones
2,tt0121766,Star Wars: Episode 3: Revenge of the Sith
3,tt2488496,Star Wars: Episode 7: The Force Awakens
4,tt2527336,Star Wars: Episode 8: The Last Jedi
5,tt3748528,Rogue One: A Star Wars Story
6,tt3778644,Solo: A Star Wars Story
7,tt1228705,Iron_Man_2
8,tt1300854,Iron_Man_3
9,tt0478970,Ant-Man
10,tt3501632,Thor:_Ragnarok
11,tt1843866,Captain_America:_The_Winter_Soldier
12,tt1211837,Doctor_Strange
13,tt2395427,Avengers:_Age_of_Ultron
14,tt4154756,Avengers:_Infinity_War
15,tt5095030,Ant-Man_and_the_Wasp
16,tt3498820,Captain_America:_Civil_War
17,tt0371746,Iron_Man
18,tt3896198,Guardians_of_the_Galaxy_Vol._2
19,tt2250912,Spider-Man:_Homecoming
20,tt2015381,Guardians_of_the_Galaxy
21,tt1981115,Thor:_The_Dark_World
22,tt0458339,Captain_America:_The_First_Avenger
23,tt0848228,The_Avengers
24,tt0800369,Thor
25,tt1825683,Black_Panther
26,tt0241527,Harry Potter and the Sorcerer's Stone
27,tt0295297,Harry Potter and the Chamber of Secrets
28,tt0304141,Harry Potter and the Prisoner of Azkaban
29,tt0330373,Harry Potter and the Goblet of Fire
30,tt0373889,Harry Potter and the Order of the Phoenix
31,tt0417741,Harry Potter and the Half-Blood Prince
32,tt0926084,Harry Potter and the Deathly Hallows: Part 1
33,tt1201607,Harry Potter and the Deathly Hallows: Part 2
34,tt3183660,Fantastic Beasts and Where to Find Them
35,tt4123430,Fantastic Beasts: The Crimes of Grindelwald